,start,end,text,words,speaker,cleaned_text,tokens,lemmatized_tokens
259,883.086,886.248,"As we ploughed on, the little Opel was going well.","[{'word': 'As', 'start': 883.086, 'end': 883.186, 'score': 0.764, 'speaker': 'SPEAKER_06'}, {'word': 'we', 'start': 883.246, 'end': 883.426, 'score': 0.914, 'speaker': 'SPEAKER_06'}, {'word': 'ploughed', 'start': 883.506, 'end': 883.907, 'score': 0.531, 'speaker': 'SPEAKER_06'}, {'word': 'on,', 'start': 884.067, 'end': 884.167, 'score': 0.77, 'speaker': 'SPEAKER_06'}, {'word': 'the', 'start': 884.467, 'end': 884.567, 'score': 0.984, 'speaker': 'SPEAKER_06'}, {'word': 'little', 'start': 884.607, 'end': 884.847, 'score': 0.877, 'speaker': 'SPEAKER_06'}, {'word': 'Opel', 'start': 884.927, 'end': 885.268, 'score': 0.629, 'speaker': 'SPEAKER_06'}, {'word': 'was', 'start': 885.328, 'end': 885.468, 'score': 0.889, 'speaker': 'SPEAKER_06'}, {'word': 'going', 'start': 885.568, 'end': 885.888, 'score': 0.884, 'speaker': 'SPEAKER_06'}, {'word': 'well.', 'start': 886.028, 'end': 886.248, 'score': 0.352, 'speaker': 'SPEAKER_06'}]",Hammond,as we ploughed on the little opel was going well,"['ploughed', 'little', 'opel', 'going', 'well']","['plough', 'little', 'opel', 'go', 'well']"
260,886.909,888.15,Oliver is just skipping.,"[{'word': 'Oliver', 'start': 886.909, 'end': 887.229, 'score': 0.768, 'speaker': 'SPEAKER_06'}, {'word': 'is', 'start': 887.289, 'end': 887.389, 'score': 0.621, 'speaker': 'SPEAKER_06'}, {'word': 'just', 'start': 887.429, 'end': 887.669, 'score': 0.964, 'speaker': 'SPEAKER_06'}, {'word': 'skipping.', 'start': 887.749, 'end': 888.15, 'score': 0.826, 'speaker': 'SPEAKER_06'}]",Hammond,oliver is just skipping,"['oliver', 'skipping']",['skip']
261,888.59,888.81,Boom!,"[{'word': 'Boom!', 'start': 888.59, 'end': 888.81, 'score': 0.342, 'speaker': 'SPEAKER_06'}]",Hammond,boom,['boom'],['boom']
262,889.851,891.452,This car was born to do this.,"[{'word': 'This', 'start': 889.851, 'end': 890.011, 'score': 0.626, 'speaker': 'SPEAKER_06'}, {'word': 'car', 'start': 890.051, 'end': 890.311, 'score': 0.791, 'speaker': 'SPEAKER_06'}, {'word': 'was', 'start': 890.331, 'end': 890.452, 'score': 0.825, 'speaker': 'SPEAKER_06'}, {'word': 'born', 'start': 890.532, 'end': 890.872, 'score': 0.93, 'speaker': 'SPEAKER_06'}, {'word': 'to', 'start': 890.912, 'end': 891.012, 'score': 0.807, 'speaker': 'SPEAKER_06'}, {'word': 'do', 'start': 891.032, 'end': 891.252, 'score': 0.742, 'speaker': 'SPEAKER_06'}, {'word': 'this.', 'start': 891.292, 'end': 891.452, 'score': 0.608, 'speaker': 'SPEAKER_06'}]",Hammond,this car was born to do this,"['car', 'born']","['car', 'bear']"
263,892.793,897.317,"Sadly, though, despite the weight-shedding, my Lancia was not doing so well.","[{'word': 'Sadly,', 'start': 892.793, 'end': 893.194, 'score': 0.882, 'speaker': 'SPEAKER_05'}, {'word': 'though,', 'start': 893.254, 'end': 893.494, 'score': 0.666, 'speaker': 'SPEAKER_05'}, {'word': 'despite', 'start': 893.554, 'end': 893.914, 'score': 0.608, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 893.934, 'end': 894.034, 'score': 0.683, 'speaker': 'SPEAKER_05'}, {'word': 'weight-shedding,', 'start': 894.074, 'end': 894.675, 'score': 0.644, 'speaker': 'SPEAKER_05'}, {'word': 'my', 'start': 894.735, 'end': 894.935, 'score': 0.889, 'speaker': 'SPEAKER_05'}, {'word': 'Lancia', 'start': 894.995, 'end': 895.575, 'score': 0.749, 'speaker': 'SPEAKER_05'}, {'word': 'was', 'start': 895.635, 'end': 895.776, 'score': 0.627, 'speaker': 'SPEAKER_05'}, {'word': 'not', 'start': 896.036, 'end': 896.256, 'score': 0.932, 'speaker': 'SPEAKER_05'}, {'word': 'doing', 'start': 896.356, 'end': 896.636, 'score': 0.757, 'speaker': 'SPEAKER_05'}, {'word': 'so', 'start': 896.736, 'end': 896.956, 'score': 0.642, 'speaker': 'SPEAKER_05'}, {'word': 'well.', 'start': 897.037, 'end': 897.317, 'score': 0.968, 'speaker': 'SPEAKER_05'}]",Clarkson,sadly though despite the weightshedding my lancia was not doing so well,"['sadly', 'though', 'despite', 'weightshedding', 'lancia', 'well']","['sadly', 'though', 'weightshedde', 'well']"
264,898.231,904.697," Judging by the way the tyres are kind of digging in as I'm driving along, I think a little bit more has to come out.","[{'word': 'Judging', 'start': 898.231, 'end': 898.551, 'score': 0.907, 'speaker': 'SPEAKER_05'}, {'word': 'by', 'start': 898.571, 'end': 898.691, 'score': 0.874, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 898.732, 'end': 898.812, 'score': 0.832, 'speaker': 'SPEAKER_05'}, {'word': 'way', 'start': 898.852, 'end': 898.952, 'score': 0.692, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 898.992, 'end': 899.152, 'score': 0.789, 'speaker': 'SPEAKER_05'}, {'word': 'tyres', 'start': 899.232, 'end': 899.552, 'score': 0.727, 'speaker': 'SPEAKER_05'}, {'word': 'are', 'start': 899.572, 'end': 899.652, 'score': 0.159, 'speaker': 'SPEAKER_05'}, {'word': 'kind', 'start': 899.692, 'end': 899.832, 'score': 0.407, 'speaker': 'SPEAKER_05'}, {'word': 'of', 'start': 899.873, 'end': 899.933, 'score': 0.706, 'speaker': 'SPEAKER_05'}, {'word': 'digging', 'start': 900.033, 'end': 900.413, 'score': 0.863, 'speaker': 'SPEAKER_05'}, {'word': 'in', 'start': 900.513, 'end': 900.613, 'score': 0.526, 'speaker': 'SPEAKER_05'}, {'word': 'as', 'start': 900.673, 'end': 900.733, 'score': 0.72, 'speaker': 'SPEAKER_05'}, {'word': ""I'm"", 'start': 900.813, 'end': 900.913, 'score': 0.223, 'speaker': 'SPEAKER_05'}, {'word': 'driving', 'start': 900.953, 'end': 901.274, 'score': 0.895, 'speaker': 'SPEAKER_05'}, {'word': 'along,', 'start': 901.334, 'end': 901.734, 'score': 0.705, 'speaker': 'SPEAKER_05'}, {'word': 'I', 'start': 901.754, 'end': 901.774, 'score': 0.017, 'speaker': 'SPEAKER_05'}, {'word': 'think', 'start': 902.355, 'end': 902.595, 'score': 0.874, 'speaker': 'SPEAKER_05'}, {'word': 'a', 'start': 903.075, 'end': 903.235, 'score': 0.852, 'speaker': 'SPEAKER_05'}, {'word': 'little', 'start': 903.256, 'end': 903.516, 'score': 0.874, 'speaker': 'SPEAKER_05'}, {'word': 'bit', 'start': 903.536, 'end': 903.676, 'score': 0.804, 'speaker': 'SPEAKER_05'}, {'word': 'more', 'start': 903.736, 'end': 904.016, 'score': 0.737, 'speaker': 'SPEAKER_05'}, {'word': 'has', 'start': 904.036, 'end': 904.196, 'score': 0.66, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 904.216, 'end': 904.336, 'score': 0.626, 'speaker': 'SPEAKER_05'}, {'word': 'come', 'start': 904.356, 'end': 904.517, 'score': 0.371, 'speaker': 'SPEAKER_05'}, {'word': 'out.', 'start': 904.537, 'end': 904.697, 'score': 0.549, 'speaker': 'SPEAKER_05'}]",Clarkson, judging by the way the tyres are kind of digging in as im driving along i think a little bit more has to come out,"['judging', 'way', 'tyres', 'kind', 'digging', 'im', 'driving', 'along', 'think', 'little', 'bit', 'come']","['judge', 'way', 'tyre', 'kind', 'dig', 'm', 'drive', 'along', 'think', 'little', 'bit', 'come']"
265,905.397,909.081,"Still, as you can see from the tyres' grooves, I was doing better than the Merc.","[{'word': 'Still,', 'start': 905.397, 'end': 905.658, 'score': 0.883, 'speaker': 'SPEAKER_05'}, {'word': 'as', 'start': 905.698, 'end': 905.758, 'score': 0.768, 'speaker': 'SPEAKER_05'}, {'word': 'you', 'start': 905.778, 'end': 905.878, 'score': 0.847, 'speaker': 'SPEAKER_05'}, {'word': 'can', 'start': 905.898, 'end': 906.038, 'score': 0.983, 'speaker': 'SPEAKER_05'}, {'word': 'see', 'start': 906.098, 'end': 906.278, 'score': 0.869, 'speaker': 'SPEAKER_05'}, {'word': 'from', 'start': 906.338, 'end': 906.478, 'score': 0.909, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 906.498, 'end': 906.558, 'score': 0.981, 'speaker': 'SPEAKER_05'}, {'word': ""tyres'"", 'start': 906.618, 'end': 907.039, 'score': 0.559, 'speaker': 'SPEAKER_05'}, {'word': 'grooves,', 'start': 907.119, 'end': 907.519, 'score': 0.709, 'speaker': 'SPEAKER_05'}, {'word': 'I', 'start': 907.579, 'end': 907.659, 'score': 0.467, 'speaker': 'SPEAKER_05'}, {'word': 'was', 'start': 907.679, 'end': 907.799, 'score': 0.808, 'speaker': 'SPEAKER_05'}, {'word': 'doing', 'start': 907.84, 'end': 908.06, 'score': 0.882, 'speaker': 'SPEAKER_05'}, {'word': 'better', 'start': 908.12, 'end': 908.36, 'score': 0.943, 'speaker': 'SPEAKER_05'}, {'word': 'than', 'start': 908.4, 'end': 908.52, 'score': 0.751, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 908.56, 'end': 908.66, 'score': 0.747, 'speaker': 'SPEAKER_05'}, {'word': 'Merc.', 'start': 908.74, 'end': 909.081, 'score': 0.577, 'speaker': 'SPEAKER_05'}]",Clarkson,still as you can see from the tyres grooves i was doing better than the merc,"['still', 'see', 'tyres', 'grooves', 'better', 'merc']","['still', 'see', 'tyre', 'groove', 'well', 'merc']"
266,912.263,915.306,I'm looking at James's rear wheel and he's digging in a long way.,"[{'word': ""I'm"", 'start': 912.263, 'end': 912.384, 'score': 0.813, 'speaker': 'SPEAKER_06'}, {'word': 'looking', 'start': 912.404, 'end': 912.644, 'score': 0.859, 'speaker': 'SPEAKER_06'}, {'word': 'at', 'start': 912.704, 'end': 912.744, 'score': 0.979, 'speaker': 'SPEAKER_06'}, {'word': ""James's"", 'start': 912.804, 'end': 913.224, 'score': 0.579, 'speaker': 'SPEAKER_06'}, {'word': 'rear', 'start': 913.244, 'end': 913.464, 'score': 0.586, 'speaker': 'SPEAKER_06'}, {'word': 'wheel', 'start': 913.505, 'end': 913.685, 'score': 0.563, 'speaker': 'SPEAKER_06'}, {'word': 'and', 'start': 913.705, 'end': 913.785, 'score': 0.832, 'speaker': 'SPEAKER_06'}, {'word': ""he's"", 'start': 913.805, 'end': 914.085, 'score': 0.631, 'speaker': 'SPEAKER_06'}, {'word': 'digging', 'start': 914.145, 'end': 914.445, 'score': 0.9, 'speaker': 'SPEAKER_06'}, {'word': 'in', 'start': 914.485, 'end': 914.565, 'score': 0.784, 'speaker': 'SPEAKER_06'}, {'word': 'a', 'start': 914.585, 'end': 914.625, 'score': 0.516, 'speaker': 'SPEAKER_06'}, {'word': 'long', 'start': 914.766, 'end': 915.026, 'score': 0.856, 'speaker': 'SPEAKER_06'}, {'word': 'way.', 'start': 915.106, 'end': 915.306, 'score': 0.893, 'speaker': 'SPEAKER_06'}]",Hammond,im looking at jamess rear wheel and hes digging in a long way,"['im', 'looking', 'jamess', 'rear', 'wheel', 'hes', 'digging', 'long', 'way']","['m', 'look', 'jamess', 'rear', 'wheel', 's', 'dig', 'long', 'way']"
267,916.087,917.488,I tried to help him along.,"[{'word': 'I', 'start': 916.087, 'end': 916.267, 'score': 0.75, 'speaker': 'SPEAKER_05'}, {'word': 'tried', 'start': 916.307, 'end': 916.527, 'score': 0.554, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 916.567, 'end': 916.647, 'score': 0.702, 'speaker': 'SPEAKER_05'}, {'word': 'help', 'start': 916.707, 'end': 916.908, 'score': 0.885, 'speaker': 'SPEAKER_05'}, {'word': 'him', 'start': 916.948, 'end': 917.068, 'score': 0.882, 'speaker': 'SPEAKER_05'}, {'word': 'along.', 'start': 917.148, 'end': 917.488, 'score': 0.904, 'speaker': 'SPEAKER_05'}]",Clarkson,i tried to help him along,"['tried', 'help', 'along']","['try', 'help']"
268,917.508,921.071,It's really helpful.,"[{'word': ""It's"", 'start': 917.508, 'end': 917.588, 'score': 0.0, 'speaker': 'SPEAKER_05'}, {'word': 'really', 'start': 920.31, 'end': 920.571, 'score': 0.595, 'speaker': 'SPEAKER_03'}, {'word': 'helpful.', 'start': 920.611, 'end': 921.071, 'score': 0.683, 'speaker': 'SPEAKER_03'}]",May,its really helpful,"['really', 'helpful']","['really', 'helpful']"
269,921.852,923.673,"Well, he's always the beetle, James.","[{'word': 'Well,', 'start': 921.852, 'end': 922.112, 'score': 0.905, 'speaker': 'SPEAKER_01'}, {'word': ""he's"", 'start': 922.152, 'end': 922.332, 'score': 0.633, 'speaker': 'SPEAKER_01'}, {'word': 'always', 'start': 922.372, 'end': 922.593, 'score': 0.848, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 922.633, 'end': 922.713, 'score': 0.8, 'speaker': 'SPEAKER_01'}, {'word': 'beetle,', 'start': 922.773, 'end': 923.193, 'score': 0.833, 'speaker': 'SPEAKER_01'}, {'word': 'James.', 'start': 923.253, 'end': 923.673, 'score': 0.765, 'speaker': 'SPEAKER_01'}]",Hammond,well hes always the beetle james,"['well', 'hes', 'always', 'beetle', 'james']","['s', 'always', 'beetle', 'jame']"
270,924.374,925.235,It's waiting for you.,"[{'word': ""It's"", 'start': 924.374, 'end': 924.494, 'score': 0.83, 'speaker': 'SPEAKER_01'}, {'word': 'waiting', 'start': 924.534, 'end': 924.854, 'score': 0.866, 'speaker': 'SPEAKER_01'}, {'word': 'for', 'start': 924.915, 'end': 925.115, 'score': 0.942, 'speaker': 'SPEAKER_01'}, {'word': 'you.', 'start': 925.155, 'end': 925.235, 'score': 0.679, 'speaker': 'SPEAKER_01'}]",Hammond,its waiting for you,['waiting'],['wait']
271,928.902,929.583, What are you going to do?,"[{'word': 'What', 'start': 928.902, 'end': 928.982, 'score': 0.018, 'speaker': 'SPEAKER_08'}, {'word': 'are', 'start': 929.002, 'end': 929.062, 'score': 0.027, 'speaker': 'SPEAKER_08'}, {'word': 'you', 'start': 929.082, 'end': 929.162, 'score': 0.149, 'speaker': 'SPEAKER_08'}, {'word': 'going', 'start': 929.182, 'end': 929.302, 'score': 0.575, 'speaker': 'SPEAKER_08'}, {'word': 'to', 'start': 929.323, 'end': 929.403, 'score': 0.702, 'speaker': 'SPEAKER_08'}, {'word': 'do?', 'start': 929.443, 'end': 929.583, 'score': 0.967, 'speaker': 'SPEAKER_08'}]",Hammond, what are you going to do,['going'],['go']
272,929.643,930.344,It's sinking.,"[{'word': ""It's"", 'start': 929.643, 'end': 929.743, 'score': 0.395, 'speaker': 'SPEAKER_08'}, {'word': 'sinking.', 'start': 929.843, 'end': 930.344, 'score': 0.71, 'speaker': 'SPEAKER_08'}]",Hammond,its sinking,['sinking'],['sink']
273,930.424,932.406,"Honestly, we've done... How far is that, a mile?","[{'word': 'Honestly,', 'start': 930.424, 'end': 930.964, 'score': 0.399, 'speaker': 'SPEAKER_05'}, {'word': ""we've"", 'start': 930.984, 'end': 931.125, 'score': 0.875, 'speaker': 'SPEAKER_05'}, {'word': 'done...', 'start': 931.165, 'end': 931.305, 'score': 0.808, 'speaker': 'SPEAKER_05'}, {'word': 'How', 'start': 931.345, 'end': 931.485, 'score': 0.954, 'speaker': 'SPEAKER_05'}, {'word': 'far', 'start': 931.525, 'end': 931.685, 'score': 0.682, 'speaker': 'SPEAKER_05'}, {'word': 'is', 'start': 931.705, 'end': 931.785, 'score': 0.264, 'speaker': 'SPEAKER_05'}, {'word': 'that,', 'start': 931.825, 'end': 932.006, 'score': 0.98, 'speaker': 'SPEAKER_05'}, {'word': 'a', 'start': 932.026, 'end': 932.046, 'score': 0.025, 'speaker': 'SPEAKER_05'}, {'word': 'mile?', 'start': 932.106, 'end': 932.406, 'score': 0.706, 'speaker': 'SPEAKER_05'}]",Clarkson,honestly weve done how far is that a mile,"['honestly', 'weve', 'done', 'far', 'mile']","['honestly', 've', 'do', 'far', 'mile']"
274,932.887,933.287,It's there.,"[{'word': ""It's"", 'start': 932.887, 'end': 932.967, 'score': 0.003, 'speaker': 'SPEAKER_05'}, {'word': 'there.', 'start': 933.047, 'end': 933.287, 'score': 0.49, 'speaker': 'SPEAKER_05'}]",Clarkson,its there,[],[]
275,934.288,936.07,My Lancia waded in again.,"[{'word': 'My', 'start': 934.288, 'end': 934.429, 'score': 0.993, 'speaker': 'SPEAKER_05'}, {'word': 'Lancia', 'start': 934.489, 'end': 934.929, 'score': 0.758, 'speaker': 'SPEAKER_05'}, {'word': 'waded', 'start': 935.069, 'end': 935.43, 'score': 0.733, 'speaker': 'SPEAKER_05'}, {'word': 'in', 'start': 935.51, 'end': 935.59, 'score': 0.622, 'speaker': 'SPEAKER_05'}, {'word': 'again.', 'start': 935.67, 'end': 936.07, 'score': 0.807, 'speaker': 'SPEAKER_05'}]",Clarkson,my lancia waded in again,"['lancia', 'waded']",['wade']
276,936.771,937.432,Just a nudge.,"[{'word': 'Just', 'start': 936.771, 'end': 936.971, 'score': 0.731, 'speaker': 'SPEAKER_07'}, {'word': 'a', 'start': 937.052, 'end': 937.092, 'score': 0.64, 'speaker': 'SPEAKER_07'}, {'word': 'nudge.', 'start': 937.132, 'end': 937.432, 'score': 0.7, 'speaker': 'SPEAKER_07'}]",Hammond,just a nudge,['nudge'],['nudge']
277,938.373,939.034,That's a crash.,"[{'word': ""That's"", 'start': 938.373, 'end': 938.593, 'score': 0.692, 'speaker': 'SPEAKER_07'}, {'word': 'a', 'start': 938.613, 'end': 938.633, 'score': 0.324, 'speaker': 'SPEAKER_07'}, {'word': 'crash.', 'start': 938.694, 'end': 939.034, 'score': 0.776, 'speaker': 'SPEAKER_07'}]",Hammond,thats a crash,"['thats', 'crash']","['s', 'crash']"
278,939.174,939.695,There's a thing.,"[{'word': ""There's"", 'start': 939.174, 'end': 939.354, 'score': 0.731, 'speaker': 'SPEAKER_05'}, {'word': 'a', 'start': 939.414, 'end': 939.454, 'score': 0.823, 'speaker': 'SPEAKER_05'}, {'word': 'thing.', 'start': 939.494, 'end': 939.695, 'score': 0.967, 'speaker': 'SPEAKER_05'}]",Clarkson,theres a thing,"['theres', 'thing']","['s', 'thing']"
279,940.596,943.88,"Unfortunately, because it was an automatic, it was useless.","[{'word': 'Unfortunately,', 'start': 940.596, 'end': 941.397, 'score': 0.742, 'speaker': 'SPEAKER_05'}, {'word': 'because', 'start': 941.437, 'end': 941.737, 'score': 0.775, 'speaker': 'SPEAKER_05'}, {'word': 'it', 'start': 941.777, 'end': 941.837, 'score': 0.928, 'speaker': 'SPEAKER_05'}, {'word': 'was', 'start': 941.857, 'end': 941.957, 'score': 0.936, 'speaker': 'SPEAKER_05'}, {'word': 'an', 'start': 941.997, 'end': 942.057, 'score': 0.568, 'speaker': 'SPEAKER_05'}, {'word': 'automatic,', 'start': 942.118, 'end': 942.698, 'score': 0.675, 'speaker': 'SPEAKER_05'}, {'word': 'it', 'start': 942.778, 'end': 942.838, 'score': 0.926, 'speaker': 'SPEAKER_05'}, {'word': 'was', 'start': 942.898, 'end': 943.159, 'score': 0.87, 'speaker': 'SPEAKER_05'}, {'word': 'useless.', 'start': 943.499, 'end': 943.88, 'score': 0.894, 'speaker': 'SPEAKER_05'}]",Clarkson,unfortunately because it was an automatic it was useless,"['unfortunately', 'automatic', 'useless']","['unfortunately', 'automatic', 'useless']"
280,944.44,946.042,So we told Richard to try.,"[{'word': 'So', 'start': 944.44, 'end': 944.681, 'score': 0.883, 'speaker': 'SPEAKER_05'}, {'word': 'we', 'start': 944.721, 'end': 944.861, 'score': 0.734, 'speaker': 'SPEAKER_05'}, {'word': 'told', 'start': 944.901, 'end': 945.121, 'score': 0.785, 'speaker': 'SPEAKER_05'}, {'word': 'Richard', 'start': 945.201, 'end': 945.502, 'score': 0.893, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 945.542, 'end': 945.622, 'score': 0.957, 'speaker': 'SPEAKER_05'}, {'word': 'try.', 'start': 945.702, 'end': 946.042, 'score': 0.82, 'speaker': 'SPEAKER_05'}]",Clarkson,so we told richard to try,"['told', 'richard', 'try']",['tell']
281,947.043,948.865,But he didn't want to hurt Oliver.,"[{'word': 'But', 'start': 947.043, 'end': 947.183, 'score': 0.882, 'speaker': 'SPEAKER_05'}, {'word': 'he', 'start': 947.224, 'end': 947.324, 'score': 0.838, 'speaker': 'SPEAKER_05'}, {'word': ""didn't"", 'start': 947.364, 'end': 947.564, 'score': 0.836, 'speaker': 'SPEAKER_05'}, {'word': 'want', 'start': 947.604, 'end': 947.744, 'score': 0.664, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 947.784, 'end': 947.864, 'score': 0.931, 'speaker': 'SPEAKER_05'}, {'word': 'hurt', 'start': 947.944, 'end': 948.245, 'score': 0.739, 'speaker': 'SPEAKER_05'}, {'word': 'Oliver.', 'start': 948.445, 'end': 948.865, 'score': 0.946, 'speaker': 'SPEAKER_05'}]",Clarkson,but he didnt want to hurt oliver,"['didnt', 'want', 'hurt', 'oliver']","['want', 'hurt', 'oliver']"
282,953.888,957.449," This was hopeless, so we had to rope in the camera crew.","[{'word': 'This', 'start': 953.888, 'end': 954.088, 'score': 0.898, 'speaker': 'SPEAKER_05'}, {'word': 'was', 'start': 954.208, 'end': 954.448, 'score': 0.836, 'speaker': 'SPEAKER_05'}, {'word': 'hopeless,', 'start': 954.608, 'end': 955.068, 'score': 0.874, 'speaker': 'SPEAKER_05'}, {'word': 'so', 'start': 955.288, 'end': 955.508, 'score': 0.948, 'speaker': 'SPEAKER_05'}, {'word': 'we', 'start': 955.568, 'end': 955.688, 'score': 0.826, 'speaker': 'SPEAKER_05'}, {'word': 'had', 'start': 955.728, 'end': 955.848, 'score': 0.918, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 955.888, 'end': 955.988, 'score': 0.702, 'speaker': 'SPEAKER_05'}, {'word': 'rope', 'start': 956.069, 'end': 956.349, 'score': 0.756, 'speaker': 'SPEAKER_05'}, {'word': 'in', 'start': 956.409, 'end': 956.509, 'score': 0.742, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 956.549, 'end': 956.609, 'score': 0.985, 'speaker': 'SPEAKER_05'}, {'word': 'camera', 'start': 956.669, 'end': 957.069, 'score': 0.919, 'speaker': 'SPEAKER_05'}, {'word': 'crew.', 'start': 957.109, 'end': 957.449, 'score': 0.68, 'speaker': 'SPEAKER_05'}]",Clarkson, this was hopeless so we had to rope in the camera crew,"['hopeless', 'rope', 'camera', 'crew']","['hopeless', 'rope', 'camera', 'crew']"
283,957.989,966.811,"Three, two, one... Because the ooze was so bad, we had to get even more drastic with the weight-shedding.","[{'word': 'Three,', 'start': 957.989, 'end': 958.409, 'score': 0.459, 'speaker': 'SPEAKER_04'}, {'word': 'two,', 'start': 958.829, 'end': 959.249, 'score': 0.605, 'speaker': 'SPEAKER_04'}, {'word': 'one...', 'start': 959.929, 'end': 960.069, 'score': 0.556, 'speaker': 'SPEAKER_04'}, {'word': 'Because', 'start': 962.11, 'end': 962.49, 'score': 0.924, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 962.53, 'end': 962.59, 'score': 0.506, 'speaker': 'SPEAKER_05'}, {'word': 'ooze', 'start': 962.67, 'end': 962.95, 'score': 0.545, 'speaker': 'SPEAKER_05'}, {'word': 'was', 'start': 963.01, 'end': 963.15, 'score': 0.949, 'speaker': 'SPEAKER_05'}, {'word': 'so', 'start': 963.25, 'end': 963.45, 'score': 0.993, 'speaker': 'SPEAKER_05'}, {'word': 'bad,', 'start': 963.55, 'end': 963.85, 'score': 0.795, 'speaker': 'SPEAKER_05'}, {'word': 'we', 'start': 963.91, 'end': 964.03, 'score': 0.758, 'speaker': 'SPEAKER_05'}, {'word': 'had', 'start': 964.09, 'end': 964.21, 'score': 0.791, 'speaker': 'SPEAKER_05'}, {'word': 'to', 'start': 964.23, 'end': 964.29, 'score': 0.735, 'speaker': 'SPEAKER_05'}, {'word': 'get', 'start': 964.33, 'end': 964.47, 'score': 0.449, 'speaker': 'SPEAKER_05'}, {'word': 'even', 'start': 964.57, 'end': 964.771, 'score': 0.717, 'speaker': 'SPEAKER_05'}, {'word': 'more', 'start': 964.851, 'end': 965.071, 'score': 0.762, 'speaker': 'SPEAKER_05'}, {'word': 'drastic', 'start': 965.111, 'end': 965.611, 'score': 0.948, 'speaker': 'SPEAKER_05'}, {'word': 'with', 'start': 965.751, 'end': 965.891, 'score': 0.873, 'speaker': 'SPEAKER_05'}, {'word': 'the', 'start': 965.911, 'end': 965.991, 'score': 0.783, 'speaker': 'SPEAKER_05'}, {'word': 'weight-shedding.', 'start': 966.091, 'end': 966.811, 'score': 0.8, 'speaker': 'SPEAKER_05'}]",Clarkson,three two one because the ooze was so bad we had to get even more drastic with the weightshedding,"['three', 'two', 'one', 'ooze', 'bad', 'get', 'even', 'drastic', 'weightshedding']","['ooze', 'bad', 'get', 'even', 'drastic', 'weightshedding']"
284,970.192,971.912,We toiled away for hours.,"[{'word': 'We', 'start': 970.192, 'end': 970.332, 'score': 0.908, 'speaker': 'SPEAKER_05'}, {'word': 'toiled', 'start': 970.392, 'end': 970.752, 'score': 0.83, 'speaker': 'SPEAKER_05'}, {'word': 'away', 'start': 970.812, 'end': 971.112, 'score': 0.741, 'speaker': 'SPEAKER_05'}, {'word': 'for', 'start': 971.192, 'end': 971.332, 'score': 0.947, 'speaker': 'SPEAKER_05'}, {'word': 'hours.', 'start': 971.432, 'end': 971.912, 'score': 0.787, 'speaker': 'SPEAKER_05'}]",Clarkson,we toiled away for hours,"['toiled', 'away', 'hours']","['toil', 'hour']"
285,971.932,976.353,"Well, two of us did.","[{'word': 'Well,', 'start': 971.932, 'end': 975.273, 'score': 0.648, 'speaker': 'SPEAKER_05'}, {'word': 'two', 'start': 975.653, 'end': 975.813, 'score': 0.923, 'speaker': 'SPEAKER_05'}, {'word': 'of', 'start': 975.853, 'end': 975.913, 'score': 0.936, 'speaker': 'SPEAKER_05'}, {'word': 'us', 'start': 975.993, 'end': 976.053, 'score': 0.662, 'speaker': 'SPEAKER_05'}, {'word': 'did.', 'start': 976.113, 'end': 976.353, 'score': 0.771, 'speaker': 'SPEAKER_05'}]",Clarkson,well two of us did,"['well', 'two', 'us']",[]
286,977.053,979.614,"And then, finally, we were ready.","[{'word': 'And', 'start': 977.053, 'end': 977.173, 'score': 0.663, 'speaker': 'SPEAKER_05'}, {'word': 'then,', 'start': 977.213, 'end': 977.393, 'score': 0.938, 'speaker': 'SPEAKER_05'}, {'word': 'finally,', 'start': 977.553, 'end': 978.094, 'score': 0.809, 'speaker': 'SPEAKER_05'}, {'word': 'we', 'start': 978.834, 'end': 978.954, 'score': 0.996, 'speaker': 'SPEAKER_05'}, {'word': 'were', 'start': 978.994, 'end': 979.154, 'score': 0.931, 'speaker': 'SPEAKER_05'}, {'word': 'ready.', 'start': 979.274, 'end': 979.614, 'score': 0.814, 'speaker': 'SPEAKER_05'}]",Clarkson,and then finally we were ready,"['finally', 'ready']","['finally', 'ready']"
287,982.895,983.775," Now, this is light.","[{'word': 'Now,', 'start': 982.895, 'end': 983.035, 'score': 0.648, 'speaker': 'SPEAKER_05'}, {'word': 'this', 'start': 983.055, 'end': 983.215, 'score': 0.811, 'speaker': 'SPEAKER_05'}, {'word': 'is', 'start': 983.275, 'end': 983.355, 'score': 0.711, 'speaker': 'SPEAKER_05'}, {'word': 'light.', 'start': 983.435, 'end': 983.775, 'score': 0.691, 'speaker': 'SPEAKER_05'}]",Clarkson, now this is light,['light'],['light']
